timestamp,ghi_wm2,dni_wm2,dhi_wm2,temp_air_c,wind_speed_ms,grid_demand_mw
2024-06-20T00:00:00+00:00,0,0,0,14.0,3.0,664.2
2024-06-20T01:00:00+00:00,0,0,0,14.0,3.0,650.9
2024-06-20T02:00:00+00:00,0,0,0,14.0,2.9,637.5
2024-06-20T03:00:00+00:00,0,0,0,14.0,2.9,625.1
2024-06-20T04:00:00+00:00,0,0,0,14.0,2.8,614.5
2024-06-20T05:00:00+00:00,166,127,39,16.3,2.6,606.6
2024-06-20T06:00:00+00:00,325,249,77,18.6,2.5,601.8
2024-06-20T07:00:00+00:00,472,361,111,20.7,2.3,600.6
2024-06-20T08:00:00+00:00,601,460,141,22.5,2.2,603.1
2024-06-20T09:00:00+00:00,707,540,166,24.0,2.0,609.1
2024-06-20T10:00:00+00:00,785,601,185,25.1,1.9,618.3
2024-06-20T11:00:00+00:00,834,638,196,25.8,1.7,630.0
2024-06-20T12:00:00+00:00,850,650,200,26.0,1.6,643.5
2024-06-20T13:00:00+00:00,834,638,196,25.8,1.5,657.9
2024-06-20T14:00:00+00:00,785,601,185,25.1,1.4,672.2
2024-06-20T15:00:00+00:00,707,540,166,24.0,1.4,685.5
2024-06-20T16:00:00+00:00,601,460,141,22.5,1.4,696.7
2024-06-20T17:00:00+00:00,472,361,111,20.7,1.4,705.2
2024-06-20T18:00:00+00:00,325,249,77,18.6,1.5,710.4
2024-06-20T19:00:00+00:00,166,127,39,16.3,1.6,711.9
2024-06-20T20:00:00+00:00,0,0,0,14.0,1.7,709.5
2024-06-20T21:00:00+00:00,0,0,0,14.0,1.8,703.4
2024-06-20T22:00:00+00:00,0,0,0,14.0,2.0,694.0
2024-06-20T23:00:00+00:00,0,0,0,14.0,2.1,681.9
2024-06-21T00:00:00+00:00,0,0,0,14.0,2.3,667.9
2024-06-21T01:00:00+00:00,0,0,0,14.0,2.4,652.8
2024-06-21T02:00:00+00:00,0,0,0,14.0,2.6,637.8
2024-06-21T03:00:00+00:00,0,0,0,14.0,2.7,623.6
2024-06-21T04:00:00+00:00,0,0,0,14.0,2.8,611.4
2024-06-21T05:00:00+00:00,166,127,39,16.3,2.9,601.7
2024-06-21T06:00:00+00:00,325,249,77,18.6,3.0,595.3
2024-06-21T07:00:00+00:00,472,361,111,20.7,3.0,592.6
2024-06-21T08:00:00+00:00,601,460,141,22.5,3.0,593.7
2024-06-21T09:00:00+00:00,707,540,166,24.0,3.0,598.4
2024-06-21T10:00:00+00:00,785,601,185,25.1,2.9,606.4
2024-06-21T11:00:00+00:00,834,638,196,25.8,2.8,617.1
2024-06-21T12:00:00+00:00,850,650,200,26.0,2.7,629.7
2024-06-21T13:00:00+00:00,834,638,196,25.8,2.6,643.4
2024-06-21T14:00:00+00:00,785,601,185,25.1,2.4,657.2
2024-06-21T15:00:00+00:00,707,540,166,24.0,2.2,670.1
2024-06-21T16:00:00+00:00,601,460,141,22.5,2.1,681.2
2024-06-21T17:00:00+00:00,472,361,111,20.7,1.9,689.7
2024-06-21T18:00:00+00:00,325,249,77,18.6,1.8,695.1
2024-06-21T19:00:00+00:00,166,127,39,16.3,1.7,697.0
2024-06-21T20:00:00+00:00,0,0,0,14.0,1.6,695.3
2024-06-21T21:00:00+00:00,0,0,0,14.0,1.5,690.0
2024-06-21T22:00:00+00:00,0,0,0,14.0,1.4,681.5
2024-06-21T23:00:00+00:00,0,0,0,14.0,1.4,670.5
2024-06-22T00:00:00+00:00,0,0,0,14.0,1.4,657.7
2024-06-22T01:00:00+00:00,0,0,0,14.0,1.5,644.0
2024-06-22T02:00:00+00:00,0,0,0,14.0,1.5,630.4
2024-06-22T03:00:00+00:00,0,0,0,14.0,1.6,617.9
2024-06-22T04:00:00+00:00,0,0,0,14.0,1.8,607.2
2024-06-22T05:00:00+00:00,166,127,39,16.3,1.9,599.3
2024-06-22T06:00:00+00:00,325,249,77,18.6,2.0,594.6
2024-06-22T07:00:00+00:00,472,361,111,20.7,2.2,593.6
2024-06-22T08:00:00+00:00,601,460,141,22.5,2.4,596.4
2024-06-22T09:00:00+00:00,707,540,166,24.0,2.5,602.8
2024-06-22T10:00:00+00:00,785,601,185,25.1,2.7,612.4
2024-06-22T11:00:00+00:00,834,638,196,25.8,2.8,624.7
2024-06-22T12:00:00+00:00,850,650,200,26.0,2.9,638.8
2024-06-22T13:00:00+00:00,834,638,196,25.8,2.9,653.8
2024-06-22T14:00:00+00:00,785,601,185,25.1,3.0,668.8
2024-06-22T15:00:00+00:00,707,540,166,24.0,3.0,682.8
2024-06-22T16:00:00+00:00,601,460,141,22.5,3.0,694.8
2024-06-22T17:00:00+00:00,472,361,111,20.7,2.9,704.1
2024-06-22T18:00:00+00:00,325,249,77,18.6,2.8,710.1
2024-06-22T19:00:00+00:00,166,127,39,16.3,2.7,712.3
2024-06-22T20:00:00+00:00,0,0,0,14.0,2.6,710.8
2024-06-22T21:00:00+00:00,0,0,0,14.0,2.5,705.5
2024-06-22T22:00:00+00:00,0,0,0,14.0,2.3,696.9
2024-06-22T23:00:00+00:00,0,0,0,14.0,2.1,685.5
